customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ChargesMonthly,ChargesTotal,Cuentas_Diarias,tenure_interval,TotalPayed,TotalPayed_interval
0036-IHMOT,0,0,0,1,1,55,1,0,1,0,1,1,1,1,1,1,1,2,103.7,5656.75,3.4566666666666666,"(54, 60]",5703.5,"(5500, 6000]"
0040-HALCW,0,1,0,1,1,54,1,0,-1,-1,-1,-1,-1,-1,-1,2,0,3,20.4,1090.6,0.6799999999999999,"(48, 54]",1101.6,"(1000, 1500]"
0042-JVWOJ,0,1,0,0,0,26,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,2,19.6,471.85,0.6533333333333334,"(24, 30]",509.6,"(500, 1000]"
0042-RLHYP,0,0,0,1,1,69,1,0,-1,-1,-1,-1,-1,-1,-1,2,0,2,19.7,1396.9,0.6566666666666666,"(66, 72]",1359.3,"(1000, 1500]"
0048-LUMLS,0,1,0,1,1,37,1,0,1,0,0,0,0,1,1,1,0,3,91.2,3247.55,3.04,"(36, 42]",3374.4,"(3000, 3500]"
0048-PIHNL,0,0,0,1,0,49,1,0,-1,-1,-1,-1,-1,-1,-1,1,0,2,20.45,900.9,0.6816666666666666,"(48, 54]",1002.05,"(1000, 1500]"
0052-DCKON,0,1,0,1,0,66,1,1,1,1,1,1,1,1,1,1,0,2,115.8,7942.15,3.86,"(60, 66]",7642.8,"(7500, 8000]"
0052-YNYOT,0,0,0,0,0,67,1,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,20.55,1343.4,0.685,"(66, 72]",1376.8500000000001,"(1000, 1500]"
0056-EPFBG,0,1,0,1,1,20,0,-1,0,1,0,1,1,0,0,2,1,3,39.4,825.4,1.3133333333333332,"(18, 24]",788.0,"(500, 1000]"
0057-QBUQH,0,0,0,0,1,43,1,1,-1,-1,-1,-1,-1,-1,-1,2,1,0,25.1,1070.15,0.8366666666666667,"(42, 48]",1079.3,"(1000, 1500]"
0058-EVZWM,0,0,0,1,0,55,1,1,1,1,0,0,0,1,0,0,1,2,89.8,4959.6,2.993333333333333,"(54, 60]",4939.0,"(4500, 5000]"
0060-FUALY,0,0,0,1,0,59,1,1,1,1,1,0,0,1,0,0,1,0,94.75,5597.65,3.158333333333333,"(54, 60]",5590.25,"(5500, 6000]"
0064-SUDOG,0,0,0,1,1,12,1,0,-1,-1,-1,-1,-1,-1,-1,2,0,2,20.3,224.5,0.6766666666666666,"(6, 12]",243.60000000000002,"(0, 500]"
0064-YIJGF,0,1,0,1,1,27,1,1,1,0,0,0,0,0,0,0,1,2,75.75,1929.0,2.525,"(24, 30]",2045.25,"(2000, 2500]"
0067-DKWBL,1,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,49.25,91.1,1.6416666666666666,"(0, 6]",98.5,"(0, 500]"
0068-FIGTF,0,0,0,0,0,27,1,0,0,0,1,1,1,1,1,1,0,1,78.2,2078.95,2.606666666666667,"(24, 30]",2111.4,"(2000, 2500]"
0071-NDAFP,0,1,0,1,1,25,1,1,-1,-1,-1,-1,-1,-1,-1,2,0,3,25.5,630.6,0.85,"(24, 30]",637.5,"(500, 1000]"
0074-HDKDG,0,1,0,1,1,25,1,0,0,1,1,1,0,0,0,1,1,2,61.6,1611.0,2.0533333333333332,"(24, 30]",1540.0,"(1500, 2000]"
0076-LVEPS,0,1,0,0,1,29,0,-1,0,1,1,1,1,0,0,0,1,1,45.0,1242.45,1.5,"(24, 30]",1305.0,"(1000, 1500]"
0078-XZMHT,0,1,0,1,0,72,1,1,0,0,1,1,1,1,1,2,1,2,85.15,6316.2,2.8383333333333334,"(66, 72]",6130.8,"(6000, 6500]"
0080-EMYVY,0,0,0,0,0,14,1,0,0,0,1,0,0,0,0,1,0,3,51.45,727.85,1.715,"(12, 18]",720.3000000000001,"(500, 1000]"
0080-OROZO,0,0,0,0,0,35,1,0,1,0,0,1,1,1,1,1,1,0,99.25,3532.0,3.308333333333333,"(30, 36]",3473.75,"(3000, 3500]"
0082-LDZUE,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,44.3,44.3,1.4766666666666666,"(0, 6]",44.3,"(0, 500]"
0082-OQIQY,0,1,0,0,0,29,1,0,1,0,0,0,1,1,1,0,1,0,94.2,2607.6,3.14,"(24, 30]",2731.8,"(2500, 3000]"
0083-PIVIK,0,1,0,0,0,64,1,1,0,1,1,1,1,1,0,1,0,0,81.25,5567.55,2.7083333333333335,"(60, 66]",5200.0,"(5000, 5500]"
0089-IIQKO,0,0,0,1,1,39,1,1,1,0,0,0,1,1,1,0,1,3,99.95,3767.4,3.3316666666666666,"(36, 42]",3898.05,"(3500, 4000]"
0093-EXYQL,0,0,1,0,0,40,1,0,1,0,0,0,0,1,1,0,1,0,91.55,3673.6,3.0516666666666667,"(36, 42]",3662.0,"(3500, 4000]"
0093-XWZFY,1,1,0,0,0,40,1,1,1,0,1,1,0,1,1,0,1,3,104.5,4036.85,3.4833333333333334,"(36, 42]",4180.0,"(4000, 4500]"
0094-OIFMO,1,0,1,0,0,11,1,0,1,0,1,0,0,1,1,0,1,0,95.0,1120.3,3.1666666666666665,"(6, 12]",1045.0,"(1000, 1500]"
0096-BXERS,0,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,50.35,314.55,1.6783333333333335,"(0, 6]",302.1,"(0, 500]"
0096-FCPUF,0,1,0,0,0,30,1,1,0,1,0,0,0,0,1,0,1,1,64.5,1888.45,2.15,"(24, 30]",1935.0,"(1500, 2000]"
0098-BOWSO,0,1,0,0,0,27,1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,19.4,529.8,0.6466666666666666,"(24, 30]",523.8,"(500, 1000]"
0100-DUVFC,0,1,1,1,0,70,1,1,1,0,1,1,0,1,1,1,1,0,104.8,7308.95,3.493333333333333,"(66, 72]",7336.0,"(7000, 7500]"
0103-CSITQ,0,0,0,1,0,57,1,1,1,0,1,1,1,1,1,1,1,2,109.4,6252.7,3.646666666666667,"(54, 60]",6235.8,"(6000, 6500]"
0104-PPXDV,0,1,0,1,0,58,1,0,0,0,0,1,0,0,0,1,0,3,50.3,2878.55,1.6766666666666665,"(54, 60]",2917.3999999999996,"(2500, 3000]"
0106-GHRQR,0,1,0,0,0,16,1,1,0,0,1,1,0,0,1,0,1,2,71.4,1212.1,2.3800000000000003,"(12, 18]",1142.4,"(1000, 1500]"
0106-UGRDO,0,0,0,1,0,69,1,1,1,1,1,1,1,1,1,2,1,0,116.0,8182.85,3.8666666666666667,"(66, 72]",8004.0,"(8000, 8500]"
0107-WESLM,1,1,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,19.85,19.85,0.6616666666666667,"(0, 6]",19.85,"(0, 500]"
0107-YHINA,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,99.75,99.75,3.325,"(0, 6]",99.75,"(0, 500]"
0111-KLBQG,0,1,1,1,1,32,1,0,1,0,1,0,0,1,1,0,1,1,93.95,2861.45,3.131666666666667,"(30, 36]",3006.4,"(3000, 3500]"
0112-QAWRZ,0,1,0,1,1,16,1,1,1,0,0,1,0,1,0,0,1,2,90.8,1442.2,3.0266666666666664,"(12, 18]",1452.8,"(1000, 1500]"
0112-QWPNC,1,1,0,1,0,49,1,1,0,1,0,1,1,1,1,1,0,0,84.35,4059.35,2.8116666666666665,"(48, 54]",4133.15,"(4000, 4500]"
0114-IGABW,0,0,0,1,0,71,0,-1,0,0,1,1,1,1,1,2,0,2,58.25,4145.9,1.9416666666666667,"(66, 72]",4135.75,"(4000, 4500]"
0114-PEGZZ,0,0,0,0,0,33,1,1,1,0,1,1,0,1,1,0,0,0,107.55,3645.5,3.585,"(30, 36]",3549.15,"(3500, 4000]"
0114-RSRRW,0,0,0,1,0,10,1,0,-1,-1,-1,-1,-1,-1,-1,0,1,2,19.95,187.75,0.6649999999999999,"(6, 12]",199.5,"(0, 500]"
0115-TFERT,1,1,0,1,0,21,1,1,1,0,1,1,1,1,1,0,1,0,111.2,2317.1,3.7066666666666666,"(18, 24]",2335.2000000000003,"(2000, 2500]"
0117-LFRMW,1,1,0,1,1,37,0,-1,0,1,1,1,0,0,0,0,0,2,40.2,1448.8,1.34,"(36, 42]",1487.4,"(1000, 1500]"
0118-JPNOY,0,0,1,0,0,26,1,0,1,1,0,0,0,1,0,0,1,3,85.8,2193.65,2.86,"(24, 30]",2230.7999999999997,"(2000, 2500]"
0121-SNYRK,0,1,0,0,0,50,0,-1,0,1,0,0,1,0,0,1,1,1,35.4,1748.9,1.18,"(48, 54]",1770.0,"(1500, 2000]"
0122-OAHPZ,1,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,1,0,73.85,511.25,2.4616666666666664,"(6, 12]",516.9499999999999,"(500, 1000]"
0123-CRBRT,0,0,0,1,1,61,1,1,0,1,1,1,1,1,1,2,0,1,88.1,5526.75,2.9366666666666665,"(60, 66]",5374.099999999999,"(5000, 5500]"
0125-LZQXK,1,1,0,0,0,15,1,0,1,0,0,1,1,1,1,0,1,0,101.35,1553.95,3.378333333333333,"(12, 18]",1520.25,"(1500, 2000]"
0128-MKWSG,0,0,0,0,1,26,0,-1,0,1,0,0,1,0,1,0,0,1,45.8,1147.0,1.5266666666666666,"(24, 30]",1190.8,"(1000, 1500]"
0129-KPTWJ,0,1,0,1,0,72,1,0,1,0,0,1,0,1,1,0,1,0,94.65,6747.35,3.1550000000000002,"(66, 72]",6814.8,"(6500, 7000]"
0129-QMPDR,0,1,0,1,1,44,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,2,20.5,865.05,0.6833333333333333,"(42, 48]",902.0,"(500, 1000]"
0130-SXOUN,0,1,0,0,0,66,1,1,1,0,1,0,0,0,1,0,0,3,89.4,5976.9,2.98,"(60, 66]",5900.400000000001,"(5500, 6000]"
0133-BMFZO,1,0,0,0,0,2,1,0,1,1,1,0,1,0,0,0,1,0,86.25,181.65,2.875,"(0, 6]",172.5,"(0, 500]"
0134-XWXCE,0,0,1,0,0,44,1,0,0,0,0,1,1,1,1,1,0,2,74.85,3268.05,2.4949999999999997,"(42, 48]",3293.3999999999996,"(3000, 3500]"
0135-NMXAP,1,0,0,0,0,12,1,1,1,0,1,0,0,1,0,0,1,2,89.75,1052.4,2.9916666666666667,"(6, 12]",1077.0,"(1000, 1500]"
0136-IFMYD,0,1,1,1,0,69,1,1,1,0,1,1,1,1,1,2,1,0,109.95,7634.25,3.665,"(66, 72]",7586.55,"(7500, 8000]"
0137-OCGAB,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,80.2,80.2,2.6733333333333333,"(0, 6]",80.2,"(0, 500]"
0137-UDEUO,1,0,0,0,0,3,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,19.85,63.75,0.6616666666666667,"(0, 6]",59.550000000000004,"(0, 500]"
0139-IVFJG,0,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,90.35,190.5,3.0116666666666663,"(0, 6]",180.7,"(0, 500]"
0141-YEAYS,0,0,1,0,0,27,1,1,1,0,1,1,0,0,0,0,1,2,86.45,2401.05,2.881666666666667,"(24, 30]",2334.15,"(2000, 2500]"
0142-GVYSN,0,1,0,0,0,26,1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,20.3,511.25,0.6766666666666666,"(24, 30]",527.8000000000001,"(500, 1000]"
0147-ESWWR,0,0,1,1,0,39,1,1,1,0,0,0,1,1,1,0,1,0,101.25,3949.15,3.375,"(36, 42]",3948.75,"(3500, 4000]"
0148-DCDOS,1,1,0,0,0,25,1,1,1,0,0,0,0,1,1,0,1,2,94.7,2362.1,3.1566666666666667,"(24, 30]",2367.5,"(2000, 2500]"
0151-ONTOV,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,70.9,70.9,2.3633333333333337,"(0, 6]",70.9,"(0, 500]"
0156-FVPTA,1,1,0,1,0,22,1,0,0,1,0,0,1,0,0,0,1,0,54.2,1152.7,1.8066666666666669,"(18, 24]",1192.4,"(1000, 1500]"
0164-APGRB,0,0,0,0,0,72,1,1,1,1,1,1,1,1,1,2,1,0,114.9,8496.7,3.83,"(66, 72]",8272.800000000001,"(8000, 8500]"
0164-XAIRP,0,0,0,0,0,24,1,0,-1,-1,-1,-1,-1,-1,-1,2,1,2,19.55,470.2,0.6516666666666667,"(18, 24]",469.20000000000005,"(0, 500]"
0168-XZKBB,0,0,0,1,0,19,1,1,1,0,0,0,0,1,0,0,1,0,86.85,1564.4,2.895,"(18, 24]",1650.1499999999999,"(1500, 2000]"
0174-QRVVY,0,1,0,1,1,71,1,1,-1,-1,-1,-1,-1,-1,-1,2,0,3,25.35,1847.55,0.8450000000000001,"(66, 72]",1799.8500000000001,"(1500, 2000]"
0177-PXBAT,0,1,1,1,0,33,1,1,1,1,0,1,1,1,1,0,1,2,109.9,3694.7,3.6633333333333336,"(30, 36]",3626.7000000000003,"(3500, 4000]"
0178-CIIKR,0,0,0,0,0,3,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,19.95,58.0,0.6649999999999999,"(0, 6]",59.849999999999994,"(0, 500]"
0178-SZBHO,0,1,0,1,1,47,1,1,1,0,1,0,0,1,0,0,0,0,87.2,4017.45,2.9066666666666667,"(42, 48]",4098.400000000001,"(4000, 4500]"
0181-RITDD,0,1,0,1,1,62,1,0,1,1,1,1,1,1,1,2,0,1,108.15,6825.65,3.605,"(60, 66]",6705.3,"(6500, 7000]"
0186-CAERR,0,1,0,0,0,71,1,1,1,1,1,1,1,1,1,1,1,2,116.3,8309.55,3.8766666666666665,"(66, 72]",8257.3,"(8000, 8500]"
0187-QSXOE,0,1,1,1,0,7,1,0,1,0,0,0,0,1,1,0,1,0,89.0,605.45,2.966666666666667,"(6, 12]",623.0,"(500, 1000]"
0187-WZNAB,0,0,0,1,1,27,1,0,1,1,0,0,0,0,0,0,0,1,74.4,1972.35,2.48,"(24, 30]",2008.8000000000002,"(2000, 2500]"
0188-GWFLE,0,1,0,0,0,2,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,20.05,33.7,0.6683333333333333,"(0, 6]",40.1,"(0, 500]"
0191-EQUUH,0,0,0,0,1,25,0,-1,0,1,0,0,1,0,0,2,0,2,35.05,844.45,1.1683333333333332,"(24, 30]",876.2499999999999,"(500, 1000]"
0191-ZHSKZ,0,1,1,0,0,30,1,0,0,1,1,0,0,1,1,0,1,0,74.75,2111.3,2.4916666666666667,"(24, 30]",2242.5,"(2000, 2500]"
0193-ESZXP,1,0,1,1,0,58,1,0,1,1,1,0,1,1,1,1,1,3,105.5,6205.5,3.5166666666666666,"(54, 60]",6119.0,"(6000, 6500]"
0195-IESCP,1,1,0,1,0,10,1,1,1,0,0,0,0,0,1,0,1,0,85.25,855.3,2.841666666666667,"(6, 12]",852.5,"(500, 1000]"
0196-JTUQI,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0,0,1,3,75.2,633.85,2.506666666666667,"(6, 12]",676.8000000000001,"(500, 1000]"
0196-VULGZ,1,0,1,1,0,6,1,1,1,0,0,0,0,0,1,0,1,0,84.35,474.9,2.8116666666666665,"(0, 6]",506.09999999999997,"(500, 1000]"
0197-PNKNK,0,0,0,1,1,69,1,1,1,1,0,1,0,0,0,1,0,2,84.45,5848.6,2.815,"(66, 72]",5827.05,"(5500, 6000]"
0201-MIBOL,0,0,1,0,0,66,1,1,1,1,0,0,0,1,1,2,1,2,102.4,6471.85,3.4133333333333336,"(60, 66]",6758.400000000001,"(6500, 7000]"
0201-OAMXR,1,0,0,0,0,70,1,1,1,1,1,1,1,1,1,1,0,3,115.55,8127.6,3.8516666666666666,"(66, 72]",8088.5,"(8000, 8500]"
0203-HHYIJ,1,1,0,0,0,25,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,2,25.3,676.35,0.8433333333333334,"(24, 30]",632.5,"(500, 1000]"
0206-OYVOC,0,0,0,1,1,46,1,0,-1,-1,-1,-1,-1,-1,-1,2,1,1,19.25,864.2,0.6416666666666667,"(42, 48]",885.5,"(500, 1000]"
0206-TBWLC,0,0,0,1,0,54,1,1,1,1,1,1,1,1,1,1,1,1,114.65,6049.5,3.8216666666666668,"(48, 54]",6191.1,"(6000, 6500]"
0207-MDKNV,1,0,0,0,0,15,1,0,1,1,0,1,1,1,1,0,0,0,105.1,1582.75,3.503333333333333,"(12, 18]",1576.5,"(1500, 2000]"
0208-BPQEJ,0,0,0,1,1,12,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,2,19.4,198.1,0.6466666666666666,"(6, 12]",232.79999999999998,"(0, 500]"
0212-ISBBF,0,0,0,0,0,22,0,-1,0,0,1,0,0,1,1,0,1,0,50.35,1098.85,1.6783333333333335,"(18, 24]",1107.7,"(1000, 1500]"
0214-JHPFW,0,0,0,1,0,70,0,-1,0,0,1,1,1,1,1,2,0,2,57.8,4039.3,1.9266666666666665,"(66, 72]",4046.0,"(4000, 4500]"
0215-BQKGS,0,1,0,0,0,30,1,0,1,1,1,1,0,0,0,0,1,3,84.3,2438.6,2.81,"(24, 30]",2529.0,"(2500, 3000]"
0218-QNVAS,0,1,0,1,1,71,1,1,1,0,1,0,0,1,1,1,0,2,100.55,7113.75,3.3516666666666666,"(66, 72]",7139.05,"(7000, 7500]"
0219-QAERP,0,1,0,1,0,30,1,0,-1,-1,-1,-1,-1,-1,-1,1,0,3,19.8,576.65,0.66,"(24, 30]",594.0,"(500, 1000]"
0219-YTZUE,1,1,0,1,1,4,1,1,1,0,1,1,0,0,0,0,1,2,84.8,371.9,2.8266666666666667,"(0, 6]",339.2,"(0, 500]"
0220-EBGCE,1,1,0,0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,85.85,167.3,2.8616666666666664,"(0, 6]",171.7,"(0, 500]"
0221-NAUXK,0,1,0,0,1,10,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,2,19.95,219.5,0.6649999999999999,"(6, 12]",199.5,"(0, 500]"
0221-WMXNQ,0,1,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,75.35,273.4,2.5116666666666663,"(0, 6]",301.4,"(0, 500]"
0222-CNVPT,0,1,1,0,0,52,0,-1,0,1,0,0,0,1,1,0,1,3,48.8,2555.05,1.6266666666666665,"(48, 54]",2537.6,"(2500, 3000]"
0224-HJAPT,1,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,47.15,223.15,1.5716666666666665,"(0, 6]",235.75,"(0, 500]"
0224-NIJLP,0,1,0,1,1,8,1,0,-1,-1,-1,-1,-1,-1,-1,2,0,1,20.15,165.5,0.6716666666666666,"(6, 12]",161.2,"(0, 500]"
0224-RLWWD,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,44.3,89.3,1.4766666666666666,"(0, 6]",88.6,"(0, 500]"
0225-ZORZP,0,1,0,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,84.3,235.05,2.81,"(0, 6]",252.89999999999998,"(0, 500]"
0228-MAUWC,0,1,0,0,0,19,1,1,0,0,0,1,1,0,0,0,0,0,59.55,1144.6,1.9849999999999999,"(18, 24]",1131.45,"(1000, 1500]"
0229-LFJAF,0,1,0,0,0,72,1,1,0,1,1,1,1,0,0,2,0,2,69.65,4908.25,2.3216666666666668,"(66, 72]",5014.8,"(5000, 5500]"
0230-UBYPQ,0,1,1,1,0,63,0,-1,0,1,0,0,1,0,0,1,0,2,36.1,2298.9,1.2033333333333334,"(60, 66]",2274.3,"(2000, 2500]"
0230-WEQUW,0,1,0,1,0,66,0,-1,0,1,1,1,1,1,0,2,1,2,56.6,3789.2,1.8866666666666667,"(60, 66]",3735.6,"(3500, 4000]"
0231-LXVAP,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,75.9,75.9,2.5300000000000002,"(0, 6]",75.9,"(0, 500]"
0233-FTHAV,0,0,0,0,0,60,1,1,1,0,0,1,0,0,0,1,1,2,79.2,4765.0,2.64,"(54, 60]",4752.0,"(4500, 5000]"
0234-TEVTT,0,0,0,1,1,48,0,-1,0,1,0,1,0,0,1,1,0,3,45.0,2196.3,1.5,"(42, 48]",2160.0,"(2000, 2500]"
0235-KGSLC,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,3,85.55,85.55,2.8516666666666666,"(0, 6]",85.55,"(0, 500]"
0236-HFWSV,1,1,0,0,0,15,1,1,1,0,0,0,0,1,1,0,1,0,93.35,1444.65,3.1116666666666664,"(12, 18]",1400.25,"(1000, 1500]"
0237-YFUTL,0,0,0,1,0,50,1,1,1,1,1,0,1,1,1,0,1,2,109.65,5405.8,3.6550000000000002,"(48, 54]",5482.5,"(5000, 5500]"
0238-WHBIQ,0,1,0,1,1,72,1,1,0,1,1,1,1,1,1,2,0,3,89.7,6339.3,2.99,"(66, 72]",6458.400000000001,"(6000, 6500]"
0239-OXEXL,0,0,0,0,0,46,1,1,1,1,1,0,0,0,0,0,0,1,84.25,3847.6,2.808333333333333,"(42, 48]",3875.5,"(3500, 4000]"
0244-LGNFY,0,0,0,1,1,72,1,1,0,1,1,1,1,1,1,2,0,2,92.65,6733.0,3.0883333333333334,"(66, 72]",6670.8,"(6500, 7000]"
0247-SLUJI,0,1,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,19.7,19.7,0.6566666666666666,"(0, 6]",19.7,"(0, 500]"
0248-IPDFW,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,50.1,50.1,1.6700000000000002,"(0, 6]",50.1,"(0, 500]"
0248-PGHBZ,0,0,1,0,0,67,1,0,1,1,1,0,1,1,0,2,1,2,92.45,6140.85,3.0816666666666666,"(66, 72]",6194.150000000001,"(6000, 6500]"
0253-ZTEOB,0,0,0,1,1,48,1,1,0,0,1,0,1,1,1,2,0,0,79.65,3870.3,2.6550000000000002,"(42, 48]",3823.2000000000003,"(3500, 4000]"
0254-FNMCI,0,0,0,0,0,72,1,0,1,1,1,1,1,1,1,2,1,0,109.9,7624.2,3.6633333333333336,"(66, 72]",7912.8,"(7500, 8000]"
0254-KCJGT,0,1,0,1,0,52,1,1,0,1,1,1,1,0,1,1,1,3,81.4,4354.45,2.7133333333333334,"(48, 54]",4232.8,"(4000, 4500]"
0254-WWRKD,0,0,0,1,1,67,1,0,0,0,1,0,0,0,0,1,0,3,50.55,3431.75,1.6849999999999998,"(66, 72]",3386.85,"(3000, 3500]"
0256-LTHVJ,1,0,0,1,1,28,1,0,1,0,0,0,0,0,1,0,1,0,81.05,2227.1,2.7016666666666667,"(24, 30]",2269.4,"(2000, 2500]"
0257-KXZGU,0,0,0,1,1,32,1,1,0,0,1,1,0,0,0,0,0,2,62.45,2045.55,2.0816666666666666,"(30, 36]",1998.4,"(1500, 2000]"
